Idx,Kind,T,DurField,Line
1,start,5.554,,"[silencedetect @ 000001d1ec14d600] silence_start: 5.55375"
2,end,6.299,0.746,"[silencedetect @ 000001d1ec14d600] silence_end: 6.29925 | silence_duration: 0.7455"
3,start,9.654,,"[silencedetect @ 000001d1ec14d600] silence_start: 9.653813"
4,end,11.385,1.731,"[silencedetect @ 000001d1ec14d600] silence_end: 11.38525 | silence_duration: 1.731437"
5,start,16.163,,"[silencedetect @ 000001d1ec14d600] silence_start: 16.163125"
6,end,18.315,2.152,"[silencedetect @ 000001d1ec14d600] silence_end: 18.315438 | silence_duration: 2.152312"
7,start,20.903,,"[silencedetect @ 000001d1ec14d600] silence_start: 20.902625"
8,end,21.685,0.782,"[silencedetect @ 000001d1ec14d600] silence_end: 21.68475 | silence_duration: 0.782125"
9,start,25.547,,"[silencedetect @ 000001d1ec14d600] silence_start: 25.547"
10,end,27.638,2.091,"[silencedetect @ 000001d1ec14d600] silence_end: 27.638438 | silence_duration: 2.091438"
11,start,30.168,,"[silencedetect @ 000001d1ec14d600] silence_start: 30.168375"
12,end,31.038,0.87,"[silencedetect @ 000001d1ec14d600] silence_end: 31.038187 | silence_duration: 0.869812"
13,start,34.277,,"[silencedetect @ 000001d1ec14d600] silence_start: 34.276625"
14,end,35.012,0.735,"[silencedetect @ 000001d1ec14d600] silence_end: 35.011938 | silence_duration: 0.735313"
15,start,36.878,,"[silencedetect @ 000001d1ec14d600] silence_start: 36.877938"
16,end,38.942,2.064,"[silencedetect @ 000001d1ec14d600] silence_end: 38.941812 | silence_duration: 2.063875"
17,start,41.173,,"[silencedetect @ 000001d1ec14d600] silence_start: 41.172938"
18,end,41.922,0.749,"[silencedetect @ 000001d1ec14d600] silence_end: 41.921625 | silence_duration: 0.748688"
19,start,45.783,,"[silencedetect @ 000001d1ec14d600] silence_start: 45.783313"
20,end,47.573,1.789,"[silencedetect @ 000001d1ec14d600] silence_end: 47.572625 | silence_duration: 1.789313"
21,start,52.628,,"[silencedetect @ 000001d1ec14d600] silence_start: 52.627938"
22,end,54.568,1.94,"[silencedetect @ 000001d1ec14d600] silence_end: 54.567563 | silence_duration: 1.939625"
23,start,62.979,,"[silencedetect @ 000001d1ec14d600] silence_start: 62.979312"
24,end,64.778,1.798,"[silencedetect @ 000001d1ec14d600] silence_end: 64.777625 | silence_duration: 1.798312"
25,start,66.241,,"[silencedetect @ 000001d1ec14d600] silence_start: 66.241062"
26,end,67.133,0.892,"[silencedetect @ 000001d1ec14d600] silence_end: 67.132563 | silence_duration: 0.8915"
27,start,70.987,,"[silencedetect @ 000001d1ec14d600] silence_start: 70.986812"
28,end,72.928,1.942,"[silencedetect @ 000001d1ec14d600] silence_end: 72.928375 | silence_duration: 1.941563"
29,start,76.363,,"[silencedetect @ 000001d1ec14d600] silence_start: 76.362875"
30,end,77.089,0.727,"[silencedetect @ 000001d1ec14d600] silence_end: 77.089438 | silence_duration: 0.726562"
31,start,77.377,,"[silencedetect @ 000001d1ec14d600] silence_start: 77.377375"
32,end,78.137,0.759,"[silencedetect @ 000001d1ec14d600] silence_end: 78.13675 | silence_duration: 0.759375"
33,start,83.937,,"[silencedetect @ 000001d1ec14d600] silence_start: 83.936625"
34,end,85.726,1.789,"[silencedetect @ 000001d1ec14d600] silence_end: 85.725875 | silence_duration: 1.78925"
35,start,89.521,,"[silencedetect @ 000001d1ec14d600] silence_start: 89.520938"
36,end,90.55,1.029,"[silencedetect @ 000001d1ec14d600] silence_end: 90.54975 | silence_duration: 1.028813"
37,start,96.752,,"[silencedetect @ 000001d1ec14d600] silence_start: 96.751563"
38,end,98.663,1.911,"[silencedetect @ 000001d1ec14d600] silence_end: 98.662813 | silence_duration: 1.91125"
39,start,102.858,,"[silencedetect @ 000001d1ec14d600] silence_start: 102.85775"
40,end,104.579,1.721,"[silencedetect @ 000001d1ec14d600] silence_end: 104.578812 | silence_duration: 1.721062"
41,start,109.467,,"[silencedetect @ 000001d1ec14d600] silence_start: 109.467375"
42,end,111.272,1.805,"[silencedetect @ 000001d1ec14d600] silence_end: 111.272437 | silence_duration: 1.805063"
43,start,112.355,,"[silencedetect @ 000001d1ec14d600] silence_start: 112.354687"
44,end,112.873,0.519,"[silencedetect @ 000001d1ec14d600] silence_end: 112.873188 | silence_duration: 0.5185"
45,start,116.866,,"[silencedetect @ 000001d1ec14d600] silence_start: 116.866313"
46,end,117.386,0.519,"[silencedetect @ 000001d1ec14d600] silence_end: 117.385563 | silence_duration: 0.51925"
47,start,122.359,,"[silencedetect @ 000001d1ec14d600] silence_start: 122.359437"
48,end,124.157,1.798,"[silencedetect @ 000001d1ec14d600] silence_end: 124.157188 | silence_duration: 1.79775"
49,start,131.239,,"[silencedetect @ 000001d1ec14d600] silence_start: 131.239062"
50,end,132.012,0.773,"[silencedetect @ 000001d1ec14d600] silence_end: 132.011625 | silence_duration: 0.772563"
51,start,136.749,,"[silencedetect @ 000001d1ec14d600] silence_start: 136.7485"
52,end,138.589,1.841,"[silencedetect @ 000001d1ec14d600] silence_end: 138.58925 | silence_duration: 1.84075"
53,start,140.813,,"[silencedetect @ 000001d1ec14d600] silence_start: 140.813437"
54,end,141.733,0.919,"[silencedetect @ 000001d1ec14d600] silence_end: 141.7325 | silence_duration: 0.919063"
55,start,146.298,,"[silencedetect @ 000001d1ec14d600] silence_start: 146.297562"
56,end,148.108,1.81,"[silencedetect @ 000001d1ec14d600] silence_end: 148.107812 | silence_duration: 1.81025"
57,start,156.65,,"[silencedetect @ 000001d1ec14d600] silence_start: 156.650438"
58,end,158.413,1.762,"[silencedetect @ 000001d1ec14d600] silence_end: 158.412813 | silence_duration: 1.762375"
59,start,166.353,,"[silencedetect @ 000001d1ec14d600] silence_start: 166.353125"
60,end,167.1,0.747,"[silencedetect @ 000001d1ec14d600] silence_end: 167.100375 | silence_duration: 0.74725"
61,start,171.983,,"[silencedetect @ 000001d1ec14d600] silence_start: 171.983313"
62,end,173.743,1.759,"[silencedetect @ 000001d1ec14d600] silence_end: 173.742625 | silence_duration: 1.759313"
63,start,180.56,,"[silencedetect @ 000001d1ec14d600] silence_start: 180.559875"
64,end,182.381,1.821,"[silencedetect @ 000001d1ec14d600] silence_end: 182.380812 | silence_duration: 1.820938"
65,start,184.012,,"[silencedetect @ 000001d1ec14d600] silence_start: 184.011938"
66,end,184.755,0.743,"[silencedetect @ 000001d1ec14d600] silence_end: 184.755313 | silence_duration: 0.743375"
67,start,192.791,,"[silencedetect @ 000001d1ec14d600] silence_start: 192.790687"
68,end,194.581,1.791,"[silencedetect @ 000001d1ec14d600] silence_end: 194.581437 | silence_duration: 1.79075"
69,start,206.182,,"[silencedetect @ 000001d1ec14d600] silence_start: 206.181875"
70,end,207.9,1.719,"[silencedetect @ 000001d1ec14d600] silence_end: 207.900438 | silence_duration: 1.718562"
71,start,212.261,,"[silencedetect @ 000001d1ec14d600] silence_start: 212.261125"
72,end,213.037,0.775,"[silencedetect @ 000001d1ec14d600] silence_end: 213.0365 | silence_duration: 0.775375"
73,start,215.153,,"[silencedetect @ 000001d1ec14d600] silence_start: 215.153375"
74,end,216.869,1.716,"[silencedetect @ 000001d1ec14d600] silence_end: 216.869125 | silence_duration: 1.71575"
75,start,223.668,,"[silencedetect @ 000001d1ec14d600] silence_start: 223.66825"
76,end,224.398,0.73,"[silencedetect @ 000001d1ec14d600] silence_end: 224.398063 | silence_duration: 0.729812"
77,start,228.123,,"[silencedetect @ 000001d1ec14d600] silence_start: 228.122813"
78,end,229.861,1.738,"[silencedetect @ 000001d1ec14d600] silence_end: 229.860688 | silence_duration: 1.737875"
79,start,235.208,,"[silencedetect @ 000001d1ec14d600] silence_start: 235.2075"
80,end,236.95,1.743,"[silencedetect @ 000001d1ec14d600] silence_end: 236.95 | silence_duration: 1.7425"
81,start,239.709,,"[silencedetect @ 000001d1ec14d600] silence_start: 239.709125"
82,end,240.232,0.523,"[silencedetect @ 000001d1ec14d600] silence_end: 240.231938 | silence_duration: 0.522813"
83,start,243.318,,"[silencedetect @ 000001d1ec14d600] silence_start: 243.317688"
84,end,245.162,1.844,"[silencedetect @ 000001d1ec14d600] silence_end: 245.161625 | silence_duration: 1.843938"
85,start,250.506,,"[silencedetect @ 000001d1ec14d600] silence_start: 250.506375"
86,end,252.399,1.893,"[silencedetect @ 000001d1ec14d600] silence_end: 252.398938 | silence_duration: 1.892563"
87,start,259.273,,"[silencedetect @ 000001d1ec14d600] silence_start: 259.272938"
88,end,260.999,1.726,"[silencedetect @ 000001d1ec14d600] silence_end: 260.999062 | silence_duration: 1.726125"
89,start,263.385,,"[silencedetect @ 000001d1ec14d600] silence_start: 263.384625"
90,end,264.233,0.848,"[silencedetect @ 000001d1ec14d600] silence_end: 264.232687 | silence_duration: 0.848063"
91,start,268.595,,"[silencedetect @ 000001d1ec14d600] silence_start: 268.594625"
92,end,270.334,1.74,"[silencedetect @ 000001d1ec14d600] silence_end: 270.334437 | silence_duration: 1.739812"
93,start,277.251,,"[silencedetect @ 000001d1ec14d600] silence_start: 277.250812"
94,end,278.991,1.74,"[silencedetect @ 000001d1ec14d600] silence_end: 278.991 | silence_duration: 1.740187"
95,start,283.242,,"[silencedetect @ 000001d1ec14d600] silence_start: 283.241562"
96,end,284.987,1.746,"[silencedetect @ 000001d1ec14d600] silence_end: 284.987375 | silence_duration: 1.745812"
