StartIdx,EndIdx,Start,End,CalcDur,DurField,Reverse
1,2,5.554,6.299,0.746,0.746,False
3,4,9.654,11.385,1.731,1.731,False
5,6,16.163,18.315,2.152,2.152,False
7,8,20.903,21.685,0.782,0.782,False
9,10,25.547,27.638,2.091,2.091,False
11,12,30.168,31.038,0.87,0.87,False
13,14,34.277,35.012,0.735,0.735,False
15,16,36.878,38.942,2.064,2.064,False
17,18,41.173,41.922,0.749,0.749,False
19,20,45.783,47.573,1.789,1.789,False
21,22,52.628,54.568,1.94,1.94,False
23,24,62.979,64.778,1.798,1.798,False
25,26,66.241,67.133,0.892,0.892,False
27,28,70.987,72.928,1.942,1.942,False
29,30,76.363,77.089,0.727,0.727,False
31,32,77.377,78.137,0.759,0.759,False
33,34,83.937,85.726,1.789,1.789,False
35,36,89.521,90.55,1.029,1.029,False
37,38,96.752,98.663,1.911,1.911,False
39,40,102.858,104.579,1.721,1.721,False
41,42,109.467,111.272,1.805,1.805,False
43,44,112.355,112.873,0.519,0.519,False
45,46,116.866,117.386,0.519,0.519,False
47,48,122.359,124.157,1.798,1.798,False
49,50,131.239,132.012,0.773,0.773,False
51,52,136.749,138.589,1.841,1.841,False
53,54,140.813,141.771,0.958,0.958,False
55,56,145.887,147.683,1.796,1.796,False
57,58,156.225,157.988,1.762,1.762,False
59,60,165.928,166.675,0.747,0.747,False
61,62,171.558,173.318,1.759,1.759,False
63,64,180.135,181.958,1.823,1.823,False
65,66,183.587,184.33,0.743,0.743,False
67,68,192.366,194.156,1.79,1.79,False
69,70,205.757,207.475,1.719,1.719,False
71,72,211.836,212.586,0.749,0.749,False
73,74,214.728,216.449,1.72,1.72,False
75,76,223.243,223.973,0.729,0.729,False
77,78,227.7,229.436,1.736,1.736,False
79,80,234.783,236.529,1.747,1.747,False
81,82,239.284,239.807,0.523,0.523,False
83,84,242.893,244.737,1.844,1.844,False
85,86,250.081,251.974,1.893,1.893,False
87,88,258.85,260.574,1.724,1.724,False
89,90,262.96,263.837,0.877,0.877,False
91,92,268.199,269.942,1.743,1.743,False
93,94,272.897,273.845,0.947,0.947,False
95,96,277.33,279.073,1.743,1.743,False
97,98,282.615,284.366,1.752,1.752,False
99,100,289.16,289.911,0.751,0.751,False
101,102,294.224,296.002,1.779,1.779,False
103,104,299.481,299.995,0.514,0.514,False
105,106,302.448,304.368,1.92,1.92,False
107,108,309.175,309.952,0.777,0.778,False
109,110,313.458,315.243,1.785,1.785,False
111,112,320.409,322.176,1.767,1.767,False
113,114,326.631,328.623,1.992,1.992,False
115,116,332.917,333.768,0.85,0.85,False
117,118,338.513,340.535,2.023,2.023,False
119,120,341.725,342.528,0.803,0.803,False
121,122,350.272,352.337,2.065,2.065,False
