A	mak	q	z	x	gen
H22	369.63	174.90	144.89	183.03	293.09
H23	360.67	175.40	153.86	2.97	295.49
H24	358.84	91.11	149.25	2.87	295.82
H25	373.60	92.29	132.24	2.85	297.09
H26	372.01	93.00	131.47	2.79	112.14
H27	524.06	98.24	131.75	1.44	112.99
H28	667.66	98.75	132.88	1.35	114.88
H29	669.91	100.22	130.52	1.39	112.53
H30	338.85	98.21	131.39	1.37	112.43
H31	290.03	53.19	132.06	1.58	111.93
H32	290.17	52.21	118.92	1.41	93.93
H33	292.87	30.74	118.51	1.50	94.27
H34	293.14	30.84	118.09	1.42	93.68
H35	298.74	30.98	85.10	1.43	64.79
H36	293.04	30.81	83.82	1.61	63.86
H37	293.16	30.57	83.77	1.46	64.06
H38	296.22	31.01	84.19	1.45	64.33
H39	294.64	30.59	81.01	1.53	63.79
H40	293.48	30.47	66.40	1.43	47.88
H41	294.85	30.53	57.40	1.41	44.60
H42	294.77	30.51	38.66	1.54	27.42
H43	245.07	31.89	39.07	1.50	27.80
H44	263.20	32.31	29.29	1.41	21.00
H45	244.44	31.77	26.74	1.61	18.14
H46	243.14	31.66	20.87	1.46	16.89
H47	244.45	25.66	20.75	1.56	16.81
H48	245.89	25.38	19.06	1.49	14.59
H49	243.45	24.90	12.11	1.57	15.35
H50	203.17	25.03	11.97	1.41	14.57
H51	202.69	24.90	12.18	1.08	14.71
H52	203.18	23.97	12.04	1.07	14.73
H53	202.94	24.03	11.34	1.09	14.50
H54	203.04	24.08	11.36	1.10	14.52
H55	204.76	13.17	11.40	1.10	14.39
H56	202.61	12.39	11.22	1.09	14.26
H57	202.53	12.29	11.05	1.07	12.67
H58	144.20	12.67	11.12	1.08	13.00
H59	1.55	12.11	11.02	1.07	12.65
H60	1.36	12.20	11.10	1.06	12.74
H61	1.27	12.24	11.19	1.11	12.92
H62	1.28	12.59	11.17	1.09	12.91
H63	0.98	10.75	11.06	1.07	12.65
H64	0.78	10.84	11.04	0.66	12.73
H65	0.79	8.75	11.02	0.64	12.67
H66	0.78	8.78	11.01	0.64	9.81
H67	0.80	8.69	10.68	0.64	9.42
H68	0.91	8.63	9.30	0.65	7.11
H69	0.60	8.69	9.08	0.64	6.94
H70	0.69	7.78	9.09	0.65	6.91

B	mak	q	z	x	gen
H22	93.96	6.59	15.56	19.56	33.96
H23	89.09	6.74	15.54	0.61	33.75
H24	89.15	4.77	15.64	0.60	33.96
H25	89.78	4.82	6.71	0.61	34.09
H26	89.96	4.79	6.69	0.63	6.10
H27	100.86	4.71	6.71	0.27	6.05
H28	121.40	4.75	6.60	0.27	6.02
H29	123.25	4.75	6.66	0.28	6.05
H30	101.72	4.70	6.57	0.28	5.97
H31	99.82	1.83	8.37	0.27	7.81
H32	100.42	1.79	6.46	0.28	5.44
H33	101.89	1.16	6.52	0.27	5.47
H34	100.03	1.13	6.41	0.27	5.35
H35	99.74	1.15	5.82	0.28	5.06
H36	13.94	1.13	5.80	0.28	5.02
H37	13.86	1.15	5.21	0.27	4.26
H38	14.18	1.14	4.76	0.28	3.95
H39	14.02	1.18	4.00	0.29	3.58
H40	13.80	1.17	3.16	0.29	3.03
H41	14.30	1.15	2.36	0.28	1.89
H42	13.94	1.20	1.76	0.27	1.34
H43	11.42	1.14	1.73	0.28	1.31
H44	11.46	1.13	1.38	0.28	1.01
H45	11.44	1.11	1.23	0.28	0.90
H46	11.49	1.09	1.04	0.27	0.87
H47	11.49	0.98	1.05	0.27	0.87
H48	11.39	0.91	0.96	0.27	0.76
H49	11.60	0.92	0.64	0.27	0.76
H50	9.52	0.95	0.65	0.26	0.77
H51	9.50	0.96	0.64	0.03	0.75
H52	9.61	0.84	0.64	0.03	0.76
H53	9.83	0.78	0.60	0.03	0.72
H54	9.60	0.82	0.43	0.03	0.63
H55	9.39	0.79	0.43	0.03	0.63
H56	9.51	0.64	0.43	0.03	0.64
H57	9.51	0.65	0.43	0.03	0.62
H58	7.02	0.60	0.42	0.02	0.61
H59	0.37	0.60	0.42	0.02	0.61
H60	0.20	0.61	0.42	0.02	0.62
H61	0.14	0.61	0.36	0.02	0.57
H62	0.13	0.61	0.36	0.02	0.57
H63	0.10	0.59	0.36	0.02	0.58
H64	0.08	0.58	0.36	0.03	0.58
H65	0.08	0.52	0.36	0.03	0.58
H66	0.09	0.52	0.36	0.03	0.34
H67	0.08	0.49	0.36	0.03	0.33
H68	0.08	0.50	0.25	0.03	0.25
H69	0.07	0.50	0.24	0.03	0.24
H70	0.07	0.47	0.24	0.03	0.24
